Date,Open,High,Low,Close,Volume,sentiment_score,sentiment_label,positive_ratio,news_count,text
2024-04-15,175.36,176.63,172.5,172.69,73531773.0,0.8750825457608522,0.0,0.0746268656716417,67.0,
2024-04-16,171.75,173.76,168.27,169.38,73711235.0,0.8736247839751067,0.0,0.1666666666666666,54.0,
2024-04-17,169.61,170.65,168.0,168.0,50901210.0,0.8568521934012844,0.0,0.1506849315068493,73.0,
2024-04-18,168.03,168.64,166.55,167.04,43122903.0,0.8563325364014198,0.0,0.2241379310344827,58.0,
2024-04-19,166.21,166.4,164.075,165.0,68149377.0,0.8919064195950827,0.0,0.0666666666666666,75.0,
2024-04-22,165.515,167.26,164.77,165.84,48116443.0,0.8454086410276818,0.0,0.106060606060606,66.0,
2024-04-23,165.35,167.05,164.92,166.9,49537761.0,0.8698009473003753,0.0,0.136986301369863,73.0,
2024-04-24,166.54,169.3,166.21,169.02,48251835.0,0.8344248193833563,0.0,0.1388888888888889,36.0,
2024-04-25,169.525,170.61,168.1511,169.89,50558329.0,0.8727711957913858,0.0,0.1481481481481481,54.0,
2024-04-26,169.88,171.34,169.18,169.3,44838354.0,0.8413428894753726,0.0,0.1509433962264151,53.0,
2024-04-29,173.37,176.03,173.1,173.5,68169419.0,0.8636956502024721,0.0,0.1829268292682926,82.0,
2024-04-30,173.33,174.99,170.0,170.33,65934776.0,0.8723380083546919,0.0,0.088235294117647,68.0,
2024-05-01,169.58,172.705,169.11,169.3,50383147.0,0.8820890938413555,0.0,0.0862068965517241,58.0,
2024-05-02,172.51,173.415,170.89,173.03,94214915.0,0.8572470894020595,0.0,0.146067415730337,89.0,
2024-05-03,186.645,187.0,182.66,183.38,163224109.0,0.83192127968954,0.0,0.2608695652173913,115.0,
2024-05-06,182.354,184.2,180.42,181.71,78569667.0,0.8604953350389705,0.0,0.1617647058823529,68.0,
2024-05-07,183.45,184.9,181.32,182.4,77305771.0,0.8527199702687783,0.0,0.1485148514851485,101.0,
2024-05-08,182.85,183.07,181.45,182.74,45057087.0,0.8256141726787274,0.0,0.0923076923076923,65.0,
2024-05-09,182.56,184.66,182.11,184.57,48982972.0,0.8504898945490519,0.0,0.175438596491228,57.0,
2024-05-10,184.9,185.09,182.13,183.05,50759496.0,0.8398512974381447,0.0,0.1617647058823529,68.0,
2024-05-13,185.435,187.1,184.62,186.28,72044809.0,0.8387796253793769,0.0,0.1527777777777778,72.0,
2024-05-14,187.51,188.3,186.29,187.43,52393619.0,0.8372387117902997,0.0,0.1690140845070422,71.0,
2024-05-15,187.91,190.65,187.37,189.72,70399988.0,0.8535793423652649,0.0,0.2258064516129032,62.0,
2024-05-16,190.47,191.095,189.6601,189.84,52845230.0,0.8595326861197298,0.0,0.0681818181818181,44.0,
2024-05-17,189.51,190.81,189.18,189.87,41282925.0,0.8703779524022882,0.0,0.0606060606060606,33.0,
2024-05-20,189.325,191.9199,189.01,191.04,44361275.0,0.8458025634288788,0.0,0.1,50.0,
2024-05-21,191.09,192.73,190.9201,192.35,42309401.0,0.8569295149223477,0.0,0.1372549019607843,51.0,
2024-05-22,192.265,192.8231,190.27,190.9,34648547.0,0.8743585221193455,0.0,0.1296296296296296,54.0,
2024-05-23,190.98,191.0,186.625,186.88,51005924.0,0.8516904891923417,0.0,0.1627906976744186,43.0,
2024-05-24,188.82,190.58,188.0404,189.98,36326975.0,0.8942857341068547,0.0,0.1707317073170731,41.0,
2024-05-28,191.51,193.0,189.1,189.99,52280051.0,0.8589872049562859,0.0,0.2424242424242424,66.0,
2024-05-29,189.61,192.247,189.51,190.29,53068016.0,0.8480552275415877,0.0,0.1267605633802817,71.0,
2024-05-30,190.76,192.18,190.63,191.29,49947941.0,0.8514959109279344,0.0,0.1132075471698113,53.0,
2024-05-31,191.44,192.57,189.91,192.25,75158277.0,0.871929133683443,0.0,0.125,40.0,
2024-06-03,192.9,194.99,192.52,194.03,50080539.0,0.8371404947304144,0.0,0.0975609756097561,41.0,
2024-06-04,194.635,195.32,193.0342,194.35,47471445.0,0.8783781017575946,0.0,0.0476190476190476,42.0,
2024-06-05,195.4,196.9,194.87,195.87,54156785.0,0.8479938831018365,0.0,0.1956521739130435,46.0,
2024-06-06,195.685,196.5,194.17,194.48,41181753.0,0.8356040899570172,0.0,0.2461538461538461,65.0,
2024-06-07,194.65,196.94,194.14,196.89,53103912.0,0.8435626209809862,0.0,0.1034482758620689,58.0,
2024-06-10,196.9,197.3,192.15,193.12,97262077.0,0.8075550638816573,0.0,0.1704545454545454,88.0,
2024-06-11,193.65,207.16,193.63,207.15,172373296.0,0.8432024203392924,0.0,0.1530612244897959,98.0,
2024-06-12,207.37,220.2,206.9,213.07,198134293.0,0.8162990652803165,0.0,0.2985074626865671,67.0,
2024-06-13,214.74,216.75,211.6,214.24,97862729.0,0.8795415051281452,0.0,0.175,80.0,
2024-06-14,213.85,215.17,211.3,212.49,70122748.0,0.8528304629855685,0.0,0.125,72.0,
